"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2004","     1880.35","     1917.05","     1880.35","     1912.25","      102551958","         2846.70"
"02-Jan-2004","     1912.25","     1951.70","     1911.05","     1946.05","      117079420","         3407.72"
