"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2008","     6136.75","     6165.35","     6109.85","     6144.35","       81305366","         4410.97"
"02-Jan-2008","     6144.70","     6197.00","     6060.85","     6179.40","      110353305","         7184.35"
