,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),change,pred
200040,2000-10-06,1284.35,1287.85,1262.65,1285.0,51772489,2554.93,1.0389105058365689,-8.722550392150879
200041,2000-10-13,1205.7,1205.7,1167.5,1176.75,55251611,2407.17,-9.199065222009773,0.2055654227733612
200042,2000-10-20,1166.2,1202.7,1166.2,1172.0,67674507,2906.96,-0.4052901023890785,0.9342449903488159
200043,2000-10-27,1186.95,1192.9,1171.85,1178.7,42726133,1588.58,0.5684228387206283,4.820582866668701
200044,2000-11-03,1225.0,1249.2,1225.0,1242.05,76271033,2652.14,5.1004387907089015,-0.1486467570066452
200045,2000-11-10,1271.35,1271.4,1237.5,1239.55,62554227,2052.48,-0.20168609576055826,-0.18839581310749054
200046,2000-11-17,1232.35,1238.0,1216.9,1236.0,56343239,1993.84,-0.28721682847896074,-0.15613605082035065
200047,2000-11-24,1216.05,1230.0,1216.05,1225.2,69640031,2084.2,-0.8814887365328072,4.432680606842041
200048,2000-12-01,1268.1,1280.5,1255.2,1276.2,93875047,3091.99,3.996238834038552,3.336700439453125
200049,2000-12-08,1303.3,1317.2,1303.3,1313.7,92770801,2863.44,2.8545329984014614,-0.281988263130188
200050,2000-12-15,1349.25,1349.25,1308.15,1312.6,106556294,3740.95,-0.08380313880848214,-5.533590316772461
200051,2000-12-22,1278.95,1292.8,1237.3,1242.0,89709314,3211.95,-5.6843800322061115,2.60589337348938
200052,2000-12-29,1249.0,1265.9,1242.25,1263.55,68269636,2582.9,1.7055122472399158,-18.504873275756836
200101,2001-12-31,1033.9,1062.3,1033.9,1059.05,53151737,1410.98,-19.309758746045986,18.672958374023438
200102,2001-01-12,1280.45,1298.85,1279.4,1286.75,82041684,3175.14,17.69574509422965,3.693851947784424
200103,2001-01-19,1306.0,1333.5,1306.0,1329.1,107078787,3884.88,3.186366714317953,3.387300968170166
200104,2001-01-25,1366.05,1374.2,1353.5,1370.1,108877172,3144.28,2.992482300562003,0.6806065440177917
200105,2001-02-02,1359.1,1384.9,1355.3,1378.85,116258775,3694.61,0.6345867933422781,2.914910078048706
200106,2001-02-09,1395.55,1416.3,1395.55,1405.7,145053047,4035.82,1.9100803869958125,-1.136739730834961
200107,2001-02-16,1415.85,1422.95,1376.15,1381.35,113023358,3447.26,-1.76276830636697,-4.684338569641113
200108,2001-02-23,1355.1,1362.8,1314.1,1320.45,109210345,3157.89,-4.612064069067353,-0.9604563117027283
200109,2001-03-02,1360.25,1386.75,1301.8,1306.35,124763272,3689.81,-1.0793432081754613,-4.611327648162842
200110,2001-03-09,1292.7,1292.7,1219.35,1254.75,60117766,1460.2,-4.112372982665862,-4.546614170074463
200111,2001-03-16,1216.9,1233.4,1179.6,1193.55,51146372,1275.81,-5.127560638431573,-2.43691086769104
200112,2001-03-23,1187.6,1196.55,1139.65,1161.3,35578430,1023.14,-2.7770601911650736,-0.3393750786781311
200113,2001-03-30,1195.05,1195.25,1144.65,1148.2,33959470,923.17,-1.1409162166869804,-0.36206209659576416
200114,2001-04-06,1137.55,1171.85,1133.05,1139.6,36171484,996.96,-0.7546507546507667,-10.792023658752441
200115,2001-04-12,1066.75,1066.75,1001.8,1024.9,47079193,1273.94,-11.191335740072184,10.979645729064941
200116,2001-04-20,1145.75,1156.45,1120.6,1144.0,49354917,1411.68,10.410839160839153,-3.4481451511383057
200117,2001-04-27,1143.65,1143.65,1078.1,1101.3,56498863,1255.92,-3.8772359938254835,2.881627082824707
200118,2001-05-04,1121.45,1131.95,1113.65,1130.05,42006775,1056.54,2.544135215255962,1.7426731586456299
200119,2001-05-11,1144.1,1146.85,1136.9,1140.5,42033729,1001.02,0.9162647961420469,3.9047610759735107
200120,2001-05-18,1175.0,1187.65,1169.2,1172.8,53432585,1343.77,2.754092769440651,0.08576216548681259
200121,2001-05-25,1181.95,1188.5,1171.35,1174.9,44045491,1251.16,0.1787386160524416,-1.7465598583221436
200122,2001-06-01,1168.1,1175.8,1146.9,1148.05,45591808,1218.63,-2.3387483123557455,-1.5571948289871216
200123,2001-06-08,1112.45,1128.9,1112.45,1126.6,47213483,1271.25,-1.9039588141310178,-3.2672650814056396
200124,2001-06-15,1112.7,1112.7,1084.2,1087.75,45840395,1458.47,-3.5715927373017613,0.171370729804039
200125,2001-06-22,1095.85,1097.8,1081.3,1087.65,37679782,958.3,-0.009194134142408775,2.1620264053344727
200126,2001-06-29,1094.05,1114.35,1091.05,1107.9,39500902,1158.05,1.827782290820471,-3.914060115814209
200127,2001-07-06,1069.15,1069.15,1059.6,1065.1,23382015,748.98,-4.018402027978611,4.810291767120361
200128,2001-07-13,1105.7,1127.15,1103.3,1110.45,39255312,1241.43,4.083929938313308,-3.5764238834381104
200129,2001-07-20,1085.95,1089.95,1072.75,1077.7,28964869,1027.2,-3.0388790943676347,-1.8800125122070312
200130,2001-07-27,1053.2,1061.2,1046.9,1051.7,28239132,797.78,-2.472187886279357,2.7611753940582275
200131,2001-08-03,1066.4,1077.55,1066.2,1074.6,43832220,1090.03,2.1310254978596563,0.22733032703399658
200132,2001-08-10,1070.65,1076.7,1069.05,1071.15,25904867,589.35,-0.32208374177284393,0.6195803284645081
200133,2001-08-17,1079.0,1084.0,1067.6,1069.2,51086895,1062.05,-0.18237934904601996,0.6554523706436157
200134,2001-08-24,1071.5,1076.7,1064.9,1069.15,42200669,987.93,-0.004676612262073098,-0.7364159822463989
200135,2001-08-31,1064.1,1064.1,1051.75,1053.75,34365231,991.32,-1.4614472123369007,-1.271904706954956
200136,2001-09-07,1036.35,1037.35,1026.45,1035.2,49214540,1523.8,-1.7919242658423449,-11.689475059509277
200137,2001-09-14,972.05,974.5,902.7,919.7,49968104,1367.57,-12.55844297053387,-7.23567008972168
200138,2001-09-21,903.75,903.75,849.95,854.2,47900433,967.98,-7.667993444158276,7.191476345062256
200139,2001-09-28,891.75,922.55,891.0,913.85,63992439,1300.42,6.527329430431688,1.0612682104110718
200140,2001-10-05,911.6,919.75,903.05,914.6,38678056,972.2,0.08200306144762738,5.548762321472168
200141,2001-10-12,958.4,969.9,956.85,960.4,55195833,1399.07,4.768846314035814,2.780181646347046
200142,2001-10-19,972.2,981.0,970.85,976.65,38879800,1068.08,1.6638509189576614,1.5844841003417969
200143,2001-10-25,991.25,998.0,979.95,983.2,60241032,1311.97,0.6661920260374357,2.0630035400390625
200144,2001-11-02,994.25,1009.55,991.95,997.6,57608835,1538.24,1.4434643143544483,0.7324926257133484
200145,2001-11-09,999.1,1008.95,999.1,1004.05,62739687,1321.68,0.6423982869378947,3.3248000144958496
200146,2001-11-15,1016.05,1038.35,1015.15,1035.7,50501218,1338.06,3.0559042193685517,2.462634563446045
200147,2001-11-23,1063.05,1075.05,1057.3,1059.0,54530688,1328.22,2.200188857412649,1.3660696744918823
200148,2001-11-29,1070.3,1071.0,1063.0,1067.15,60878364,1742.1,0.7637164409876859,5.000495910644531
200149,2001-12-07,1110.9,1122.65,1109.65,1112.3,59278142,1571.3,4.0591567023284965,-1.6049374341964722
200150,2001-12-14,1098.65,1102.9,1082.75,1087.85,41868889,1075.62,-2.2475525118352757,-3.119359016418457
200151,2001-12-21,1061.8,1061.8,1043.65,1050.85,47173980,1202.65,-3.52095922348575,-0.5762099027633667
